;roles_roles;roles_keywords
1437;student,data_scientist;student,data(\s|-)scien(ce|tist)
1438;student;student
1441;student;student
1442;analyst;^((?!(data|financial)).)*analyst
1444;student,data_scientist;student,machine learning
1446;scientist;(astro|bio|geo)?physic(s|ist)?
1447;educator;teach(er|ing)
1448;data_scientist;data analys(t|is)
1450;scientist;(astro|bio|geo)?physic(s|ist)?
1451;researcher;research(er)?
1453;developer,scientist;develop(er|ment),(astro|bio|geo)?physic(s|ist)?
1454;engineer;^((?!software).)*engineer
1456;researcher,developer;research(er)?,develop(er|ment)
1458;researcher;research(er)?
1459;educator;professor
1460;financial_analyst;financial (model(er|ing)|analyst)
1463;researcher;research(er)?
1464;student;student,phd
1466;researcher;research(er)?
1468;educator;professor
1469;scientist;(astro|bio|geo)?physic(s|ist)?
1470;developer,data_scientist;develop(er|ment),machine learning
1472;scientist;bioinformatic(s|ian)
1476;manager;manager
1477;student,educator;student,teach(er|ing)
1478;data_scientist;data(\s|-)scien(ce|tist)
1479;developer;develop(er|ment)
1480;researcher;research(er)?
1481;author;writer
1484;data_scientist;data analys(t|is)
1487;analyst;^((?!(data|financial)).)*analyst
1490;scientist;(astro|bio|geo)?physic(s|ist)?
1493;data_scientist;data analys(t|is)
1494;scientist;bioinformatic(s|ian),^((?!data).)*scientist
1495;engineer;^((?!software).)*engineer
1498;researcher;research(er)?
1502;engineer;^((?!software).)*engineer
1503;scientist,educator;(astro|bio|geo)?physic(s|ist)?,physical science,^((?!data).)*scientist,educator
1504;data_scientist;data(\s|-)scien(ce|tist)
1507;student,scientist;student,(astro|bio|geo)?physic(s|ist)?
1512;student;student
1515;scientist;(astro|bio|geo)?physic(s|ist)?
1517;scientist;bioinformatic(s|ian),^((?!data).)*scientist
1518;researcher;research(er)?
1520;statistician;mathematician
1524;financial_analyst;financial (model(er|ing)|analyst)
1525;engineer;^((?!software).)*engineer
1527;data_scientist;data(\s|-)scien(ce|tist)
1529;student,data_scientist;student,data(\s|-)scien(ce|tist)
1530;analyst;^((?!(data|financial)).)*analyst
1531;scientist;(astro|bio|geo)?physic(s|ist)?
1534;student;student,phd
1539;scientist;(astro|bio|geo)?physic(s|ist)?
1541;data_scientist;data(\s|-)scien(ce|tist)
1551;researcher,educator;research(er)?,teach(er|ing)
1552;researcher;research(er)?
1554;scientist;(astro|bio|geo)?physic(s|ist)?
1556;data_scientist;data analys(t|is)
1557;developer,analyst;software (engineer|architect),^((?!(data|financial)).)*analyst
1559;researcher;research(er)?
1562;student,researcher;student,research(er)?
1563;student;student
1564;scientist;^((?!data).)*scientist
1565;;
1568;researcher,scientist,educator;research(er)?,(astro|bio|geo)?physic(s|ist)?,teach(er|ing)
1573;data_scientist;data(\s|-)scien(ce|tist)
1574;educator;professor
1575;student;student
1583;manager,developer,data_scientist;manager,develop(er|ment),data(\s|-)scien(ce|tist)
1585;educator;teach(er|ing),teaching assistant
1587;student,scientist;student,phd,(astro|bio|geo)?physic(s|ist)?
1590;educator;professor
1593;researcher;research(er)?
1594;researcher,educator;research(er)?,educator
1595;student;student,phd
1598;engineer;^((?!software).)*engineer
1600;engineer,analyst;^((?!software).)*engineer,analytics
1601;manager,data_scientist;manager,data(\s|-)scien(ce|tist)
1603;student;student
1604;developer;programmer
1606;student,researcher;student,research(er)?
1609;scientist,analyst;ecologi(st|cal),^((?!(data|financial)).)*analyst
1611;scientist;(astro|bio|geo)?physic(s|ist)?
1616;scientist;(astro|bio|geo)?physic(s|ist)?
1617;student;student
1618;data_scientist;data(\s|-)scien(ce|tist)
1621;researcher;research(er)?
1622;data_scientist;data(\s|-)scien(ce|tist)
1623;educator;professor
1624;presenter;presenter
1625;data_scientist;data(\s|-)scien(ce|tist)
1626;scientist;(astro|bio|geo)?physic(s|ist)?
1630;researcher;research(er)?
1635;student,researcher,developer;student,research(er)?,programmer
1637;data_scientist;data(\s|-)scien(ce|tist)
1638;student;student
1639;researcher;research(er)?
1642;student;student
1644;manager;manager
1645;researcher;research(er)?
1650;scientist;(astro|bio|geo)?physic(s|ist)?
1654;student;student,phd
1657;scientist;(astro|bio|geo)?physic(s|ist)?
1661;data_scientist;data analys(t|is)
1662;engineer;^((?!software).)*engineer
1667;researcher;research(er)?
1668;scientist;(astro|bio|geo)?physic(s|ist)?
1677;student,statistician;student,statistician
1681;;
1683;engineer;^((?!software).)*engineer
1686;student,scientist;student,(astro|bio|geo)?physic(s|ist)?
1690;scientist;(astro|bio|geo)?physic(s|ist)?
1691;researcher,independent;research(er)?,hobby?(ist)?
1693;researcher;research(er)?
1694;data_scientist;data analys(t|is)
1695;financial_analyst;economi(c|st)
1700;scientist;bioinformatic(s|ian)
1701;tester,developer;test(er|ing),develop(er|ment)
1702;data_scientist;data(\s|-)scien(ce|tist)
1704;student;student,phd
1705;researcher,developer;r&d($|\W),software (engineer|architect)
